Feature	Sample720	Sample724	Sample726	Sample735	Sample736	Sample740	Sample741	Sample742	Sample743	Sample745	Sample746	Sample747	Sample753	Sample754	Sample756	Sample758	Sample759	Sample770	Sample773	Sample774
ENSMUSG00000000001.5	2131	3691	2300	1372	1649	2260	1443	2544	1797	1945	2071	1996	1646	2524	1892	2028	2090	3008	2429	2216
ENSMUSG00000000003.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.16	48	136	74	20	35	31	40	50	37	46	41	51	21	38	40	19	53	68	40	36
ENSMUSG00000000031.17	7	384	12	22	25	16	15	3	9	3	2	13	4	3	30	36	0	51	19	79
ENSMUSG00000000037.18	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	2
ENSMUSG00000000049.12	54321	56089	61842	50022	55671	73618	49677	68524	60981	59218	43577	49069	46391	60136	55475	66755	61474	82653	74392	62076
ENSMUSG00000000056.8	950	1788	1143	961	1089	1412	825	1594	738	1536	1484	1578	1562	1228	1671	934	1159	1148	1145	996
ENSMUSG00000000058.7	71	90	38	38	60	38	60	52	42	37	70	51	66	44	91	46	34	104	60	68
ENSMUSG00000000078.8	165	681	281	129	268	434	273	343	206	245	281	302	229	390	609	325	225	521	288	346
ENSMUSG00000000085.17	265	469	370	235	334	249	263	292	320	340	317	307	285	316	394	335	305	484	368	319
ENSMUSG00000000088.8	4424	5750	3806	2469	2778	3627	2365	3163	3720	4483	3602	3535	2300	2612	3560	4458	5289	6422	4835	4147
ENSMUSG00000000093.7	120	279	134	79	112	137	144	119	89	186	130	99	97	59	150	122	138	363	196	130
ENSMUSG00000000094.13	0	1	1	0	2	0	1	0	2	6	0	0	0	0	1	0	0	0	1	15
ENSMUSG00000000103.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.7	120	206	121	59	80	126	100	82	137	128	98	66	70	111	91	146	164	275	152	195
ENSMUSG00000000125.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.12	7	25	10	9	13	14	12	15	34	16	12	11	32	19	18	22	20	14	17	9
ENSMUSG00000000127.16	227	472	283	177	281	318	205	261	207	234	217	189	238	257	235	217	239	328	271	264
ENSMUSG00000000131.16	1060	1620	1383	1111	1132	1272	1142	1432	1348	1285	1195	1054	1050	1302	1180	1173	1176	1576	1440	1111
ENSMUSG00000000134.18	984	1549	1146	921	1178	1229	1264	1258	969	935	877	761	970	1194	896	994	1001	1650	1004	1018
ENSMUSG00000000142.16	202	836	270	332	195	226	193	338	347	317	357	441	155	215	292	163	50	257	89	130
ENSMUSG00000000148.18	303	722	368	356	365	303	331	315	325	318	305	256	338	429	320	292	296	458	329	257
ENSMUSG00000000149.11	2607	4556	3956	4777	3086	2407	3068	3355	4205	3147	2908	3063	3478	2765	3443	2765	3480	3327	3615	2386
